objectid,updatepknm,Tree_Canopy_Park,Pollution_Park,Sewershed_Park,Tree_Canopy_Walkshed,Pollution_Walkshed,Sewershed_Walkshed,percent_rank1,percent_rank2,total_population_18plus,total_asthma,total_obesity,total_depression,total_diabetes,asthma_rate,obesity_rate,depression_rate,diabetes_rate,Park Acreage,TotalCrimesInParks,ViolentCrimesInParks,NonViolentCrimeCount_Parks,TotalCrimeDensity_Parks,ViolentCrimeDensity_Parks,NonViolentCrimeDensity_Parks,TotalCrimesInWalkshedDifferences,Walkshed Acreage,ViolentCrimeCountsInWalksheds,NonViolentCrimeCount_Walksheds,TotalCrimeDensity_Walksheds,ViolentCrimeDensity_Walksheds,NonViolentCrimeDensity_Walksheds,sum_Total,sum_Hispanic.or.Latino,sum_Not.Hispanic.or.Latino,sum_Population.of.one.race,sum_White.alone,sum_Black.or.African.American.alone,sum_American.Indian.and.Alaska.Native.alone,sum_Asian.alone,sum_Native.Hawaiian.and.Other.Pacific.Islander.alone,sum_Some.Other.Race.alone,sum_Population.of.two.or.more.races,sum_Total.parcels,sum_Occupied,sum_Vacant,sum_Poverty.status.determined.total,sum_Below.poverty.level.,sum_Under.5.years,sum_X5.to.9.years,sum_X10.to.14.years,sum_X15.to.19.years,sum_X20.to.24.years,sum_X25.to.29.years,sum_X30.to.34.years,sum_X35.to.39.years,sum_X40.to.44.years,sum_X45.to.49.years,sum_X50.to.54.years,sum_X55.to.59.years,sum_X60.to.64.years,sum_X65.to.69.years,sum_X70.to.74.years,sum_X75.to.79.years,sum_X80.to.84.years,sum_X85.years.and.over,sum_Total_pct,sum_Hispanic.or.Latino_pct,sum_Not.Hispanic.or.Latino_pct,sum_Population.of.one.race_pct,sum_White.alone_pct,sum_Black.or.African.American.alone_pct,sum_American.Indian.and.Alaska.Native.alone_pct,sum_Asian.alone_pct,sum_Native.Hawaiian.and.Other.Pacific.Islander.alone_pct,sum_Some.Other.Race.alone_pct,sum_Population.of.two.or.more.races_pct,sum_Poverty.status.determined.total_pct,sum_Below.poverty.level._pct,sum_Under.5.years_pct,sum_X5.to.9.years_pct,sum_X10.to.14.years_pct,sum_X15.to.19.years_pct,sum_X20.to.24.years_pct,sum_X25.to.29.years_pct,sum_X30.to.34.years_pct,sum_X35.to.39.years_pct,sum_X40.to.44.years_pct,sum_X45.to.49.years_pct,sum_X50.to.54.years_pct,sum_X55.to.59.years_pct,sum_X60.to.64.years_pct,sum_X65.to.69.years_pct,sum_X70.to.74.years_pct,sum_X75.to.79.years_pct,sum_X80.to.84.years_pct,sum_X85.years.and.over_pct,sum_Total.parcels_pct,sum_Vacant_pct,sum_Occupied_pct
1,Able Long Park,61.2857142857143,8.18469047546387,0.0,34.6842105263158,8.227676679,0.0,0.0,0.0,954,102.0,309.0,228.0,101.0,0.106918238993711,0.323899371069182,0.238993710691824,0.105870020964361,1.65951668054,1,1,0,0.6025850849987263,0.6025850849987263,0.0,1186,131.748725576241,258,928,9.001984609814535,1.9582732119158093,7.043711397898726,1146.727732,101.9594365,1044.768296,982.7776058,825.9337551,117.5996991,0.690960542,30.94124583,0.210866126,7.40107916,61.99068986,1764.924616,1594.442064,170.4825517,1067.217265,82.29386113,36.9572153,51.96531676,45.66366927,39.0202864,39.08649426,123.5881245,96.82658683,68.74558388,91.69128324,63.6810497,53.85655609,82.13849087,70.22568926,60.89357809,49.26016116,35.84158373,12.43985825,47.87003454,100,8.891337814,91.10866219,85.70278526,72.02527086,10.25524157,0.060254978,2.698220769,0.018388508,0.645408579,5.405876924,93.06631686,7.176408037,3.22284133,4.53161769,3.982084674,3.402750741,3.408524375,10.77746016,8.443729415,5.99493515,7.995907021,5.553284177,4.696542569,7.162859026,6.124007233,5.310203667,4.29571552,3.125553061,1.084813588,4.174490003,100,9.659480644,90.34051936
2,Albert Turk Graham Park,15.3333333333333,8.29966449737549,0.0,15.0256776034237,8.257230944,0.0,0.0,0.0,2287,285.0,765.0,592.0,246.0,0.124617402710975,0.334499344118933,0.258854394403148,0.107564494971578,0.38154541056,1,0,1,2.620920006696673,0.0,2.620920006696673,5164,156.234906830608,880,4284,33.052792776961674,5.63254408282848,27.420248694133196,951.8642089,64.49178796,887.372421,861.7699477,656.449997,166.9158199,7.489890489,28.23062094,0.015130577,2.668488781,25.60247325,391.6940359,324.5243621,67.16967379,206.2409404,77.35863928,7.099285574,1.170552856,10.99085285,520.5439848,388.5407632,13.97554687,34.47538889,12.65635007,24.60675659,5.42249354,6.064664279,11.6823729,7.897115217,8.350980673,5.671987103,6.226829815,0.687457313,0.970583717,100,6.775313889,93.22468611,90.53496703,68.96466858,17.53567561,0.786865439,2.965824397,0.001589573,0.280343431,2.689719081,21.66705487,8.127066714,0.745829658,0.122974774,1.154666049,54.68679039,40.8189277,1.468229054,3.621880996,1.329638193,2.585112073,0.569670914,0.637135447,1.227315072,0.829647248,0.877328992,0.59588196,0.654172072,0.072222204,0.101966615,100,17.14850563,82.85149437
3,Buhl Community Park at Allegheny Square,13.6,8.91701412200928,0.969,9.6122860020141,8.811360954,0.581,96.9165128427616,0.0,2090,276.25,848.75,603.75,268.75,0.132177033492823,0.4061004784689,0.288875598086124,0.128588516746411,2.50624171967,0,0,0,0.0,0.0,0.0,10195,220.464644878008,1729,8466,46.24324233775128,7.842527317505833,38.40071502024545,2335.560292,93.28362873,2242.276664,2136.937481,1400.233407,581.1723857,5.125520123,140.0341085,1.40242724,8.969632557,105.3391824,4882.454552,4188.995915,693.4586369,2343.627499,515.858182,94.3946902,86.48864773,74.8912714,28.26501593,141.9225694,386.9280988,364.4607206,217.8085041,119.1708089,82.01112297,150.2132004,143.9877957,128.1463082,123.750094,79.84678726,62.09248383,32.28094246,37.7627081,100,3.99405783,96.00594217,91.49571039,59.95278357,24.88363874,0.219455697,5.995739391,0.060046715,0.384046286,4.510231775,100.3454078,22.0871276,4.041629347,3.703122031,3.206565536,1.210202795,6.076596263,16.56682125,15.60485173,9.325749578,5.102450545,3.511411084,6.431570228,6.165021565,5.486748023,5.298518494,3.418742283,2.658569082,1.382149823,1.616858628,100,14.20307408,85.79692592
4,Allegheny Landing Park,19.625,8.24466514587402,0.0,6.51798561151079,8.374006756,0.109,0.0,0.0,1700,206.4,579.6,487.2,148.8,0.121411764705882,0.340941176470588,0.286588235294118,0.0875294117647059,2.21288647676,0,0,0,0.0,0.0,0.0,10125,309.085469467091,1936,8189,32.75792944086629,6.263639644199224,26.49428979666707,1786.527413,91.83338036,1694.694032,1626.732568,1225.092664,243.7566856,2.278345035,140.1070442,0.482243791,15.01558454,67.96146463,3875.602085,3212.013945,663.5881398,1397.225234,193.1309061,12.12448075,11.60460278,24.96340023,182.7406171,265.3608247,273.5607393,165.6022803,138.7668224,73.29584533,46.02300722,68.47656397,73.63565429,139.3602003,112.7754128,50.32856593,26.48178215,14.3523116,16.67858629,100,5.140328646,94.85967135,91.05556154,68.57396398,13.64416151,0.127529251,7.842423422,0.026993361,0.840490016,3.804109814,78.20900054,10.81040821,0.678661892,0.649561977,1.397314145,10.22881685,14.85344265,15.31242887,9.269506819,7.767405158,4.10269917,2.576115368,3.832942248,4.121719811,7.800619196,6.312548691,2.817116915,1.482304831,0.803363637,0.933575728,100,17.12219483,82.87780517
5,Allegheny Riverfront Park,8.75,8.23726625570632,0.0,5.72715053763441,8.214719772,0.001,0.0,0.0,2213,267.6,748.8,642.0,189.6,0.120921825576141,0.338364211477632,0.290103931314957,0.085675553547221,1.18447938382,13,1,12,10.975286001242509,0.8442527693263469,10.131033231916163,15486,331.699647537595,3036,12450,46.68681475835698,9.152858685675564,37.53395607268142,2284.695528,125.6606815,2159.034846,2084.34862,1634.01164,255.4606812,1.736121334,169.829187,0.094891198,23.21609917,74.68622645,4909.990517,3935.503815,974.4867014,1597.132358,192.9640013,8.913416721,9.318154146,15.71940667,315.2932386,382.3681506,332.7543711,142.3993816,177.9039585,103.2713298,54.09177368,65.73963102,68.77134053,178.6059678,151.6520749,53.57868877,30.79571203,14.50561082,18.69398601,100,5.500106248,94.49989375,91.23091434,71.51988613,11.18138842,0.075989177,7.433340022,0.004153341,1.016157247,3.268979413,69.90569809,8.445939466,0.390135868,0.407851026,0.688030702,13.80023004,16.73606596,14.56449523,6.232750922,7.786768798,4.520135334,2.36757034,2.877391329,3.010087764,7.817495402,6.637736762,2.345112866,1.347913175,0.634903454,0.818226577,100,19.84701799,80.15298201
6,Alpine Gardens Park,18.167048822107,8.90021896362305,1.0,15.06,8.902021657,0.964,100.0,0.0,1966,217.0,706.0,442.0,252.0,0.110376398779247,0.35910478128179,0.224821973550356,0.128179043743642,0.13026725394,0,0,0,0.0,0.0,0.0,5195,144.932877878942,894,4301,35.844178878026725,6.1683726500396325,29.67580622798709,2252.277932,76.76961429,2175.508318,2082.807572,1254.03512,771.0797702,4.023271237,42.16452763,0.064817062,11.44006533,92.70074569,4187.789979,3511.877714,675.9122647,2249.397718,594.754365,143.1037869,149.2721448,85.42531028,39.51465149,47.26466903,288.1907775,309.0843453,178.9401394,176.4954632,67.88269038,184.3029066,133.3145028,127.3015441,116.747204,60.71720647,69.76499231,35.25192324,50.32140149,100,3.408532011,96.59146799,92.47560181,55.67852452,34.23555145,0.178631206,1.872083682,0.002877845,0.507933109,4.115866181,99.87211996,26.40679272,6.353735692,6.627607663,3.792840531,1.754430523,2.098527378,12.79552463,13.72318846,7.944851604,7.836309218,3.013957088,8.182955753,5.919096436,5.652124113,5.183516757,2.69581323,3.097530341,1.565167546,2.234244752,100,16.14007073,83.85992927
7,Alton Park,21.6111111111111,8.26903057098389,0.0,23.9112709832134,8.258989512,0.0,0.0,0.0,523,57.0,172.0,126.0,56.0,0.108986615678776,0.32887189292543,0.240917782026769,0.107074569789675,4.02708068619,0,0,0,0.0,0.0,0.0,1278,92.787931803383,266,1012,13.773342881572932,2.866752117760877,10.906590763812057,643.2773022,80.10111233,563.1761898,532.8716421,429.300518,88.49132632,1.085436059,10.41950389,0.000337002,3.574520815,30.30454777,953.1300187,863.6281121,89.50190656,579.9518998,45.52019872,17.24932188,36.48547141,26.4091183,20.81946167,30.26815155,38.91149542,65.67998197,29.85014495,57.00020052,13.88580569,41.44813883,40.09672544,40.38325989,45.01996362,16.18814996,11.82888162,4.510960616,46.55272546,100,12.45203461,87.54796539,82.83700362,66.73646288,13.75632655,0.168735327,1.619753076,5.24e-05,0.555673393,4.710961768,90.15581582,7.076294867,2.681475286,5.671810786,4.105401856,3.236467632,4.705303832,6.04894581,10.21021288,4.640323053,8.860906537,2.158603396,6.443277057,6.233194503,6.277737416,6.998531344,2.516511916,1.838846417,0.701246663,7.236805232,100,9.390314522,90.60968548
9,Ammon Park,33.0882352941176,8.63492231396507,1.963,21.0147299509002,8.504596402,0.427,0.0,98.1544021246945,1113,157.0,528.0,237.0,262.0,0.141060197663971,0.474393530997305,0.212938005390836,0.235399820305481,8.08163220842,0,0,0,0.0,0.0,0.0,3233,136.113724959227,919,2314,23.75219692921084,6.751707076382543,17.000489852828295,1825.652155,33.81097159,1791.841184,1728.88724,521.9411621,1190.365245,3.818075071,5.465233048,0.010921719,7.286602152,62.95394411,3299.017059,2886.685567,412.3314918,1938.574467,824.1363169,240.8233583,101.519718,130.8841961,144.5932586,68.62741443,141.6155473,122.5634323,154.98635,87.8195503,68.00113627,60.21804929,64.67908017,125.5163301,159.034802,108.8544959,85.44185242,44.50909078,30.89655894,100,1.851994176,98.14800582,94.69970687,28.58929948,65.2021932,0.20913486,0.29935785,0.000598237,0.399123247,3.448298951,106.1853136,45.14202306,13.19108668,5.56073717,7.169174903,7.92008807,3.759062986,7.756984092,6.713405506,8.489369105,4.810311211,3.724758634,3.298440457,3.542793187,6.875150328,8.711122848,5.962499241,4.680072936,2.437983087,1.692357378,100,12.49861654,87.50138346
10,Arlington Rec Center,38.5,8.23091983795166,1.0,19.8214285714286,8.217299847,0.922,100.0,0.0,572,62.0,184.0,143.0,50.0,0.108391608391608,0.321678321678322,0.25,0.0874125874125874,0.57381396468,0,0,0,0.0,0.0,0.0,1731,87.720608159639,412,1319,19.7331053251458,4.696729863639554,15.03637546150624,661.5105463,27.09844882,634.4120975,599.1297882,484.1792518,101.3854926,0.061169372,7.754899574,0.99873856,4.750236309,35.28230925,1119.336745,967.7938566,151.5428887,644.2817638,114.3834929,5.962749265,18.67343271,39.64805047,25.48458988,61.97014872,99.41837716,71.79074116,79.34126564,33.01893422,30.4634021,15.17030363,49.67050153,38.27502906,23.89367599,19.91361692,21.75805786,6.313854985,3.515032501,100,4.096450007,95.90354999,90.5699526,73.19297546,15.32636073,0.009246923,1.172301729,0.150978479,0.718089278,5.333597392,97.39553925,17.29125765,0.901383855,2.822847317,5.993562867,3.852484292,9.367975926,15.02899352,10.85254673,11.99395325,4.991444869,4.605127201,2.293282204,7.508648472,5.786004361,3.611987159,3.010324934,3.28914754,0.954460215,0.531364545,100,13.53863253,86.46136747
11,Arlington Park,10.2380952380952,8.23091983795166,1.018,22.0124555160142,8.216704488,0.751,98.2156529220946,1.78436639417008,730,79.0,239.0,182.0,66.0,0.108219178082192,0.327397260273973,0.249315068493151,0.0904109589041096,4.20716074446,1,1,0,0.237689991122113,0.237689991122113,0.0,2231,124.747484310948,547,1684,17.884128183611033,4.3848579634402665,13.499270220170764,850.938856,34.36629652,816.5725595,770.6171941,607.4407869,146.0370851,0.119168585,9.195053869,1.112856907,6.712242669,45.95536539,1420.53131,1228.279509,192.2518013,833.9868697,156.3036042,11.03155897,30.00912266,50.46805998,34.53267013,77.17094304,126.8299874,94.15477248,94.88177162,43.06645417,43.35646112,22.38994651,59.03806022,48.19556569,33.85621919,26.46741958,25.86317949,7.737908206,4.936769194,100,4.03863289,95.96136711,90.56081864,71.3847749,17.16187763,0.014004365,1.080577506,0.130779891,0.788804345,5.400548473,98.00784907,18.36837078,1.296398548,3.526589772,5.930867961,4.058184661,9.068917524,14.90471219,11.06481057,11.15024551,5.06105155,5.095132372,2.631205092,6.937990879,5.663810666,3.978690002,3.110378542,3.039369904,0.909337745,0.580155573,100,13.53379541,86.46620459
